sale_year,zone,cats_allowed,dogs_allowed,coop_condo,garage_exists,num_bedrooms,num_floors_in_building,num_full_bathrooms,num_half_bathrooms,num_total_rooms,dining_room_type,fuel_type,kitchen_type,community_district_num,approx_year_built,sq_footage,walk_score,maintenance_cost,parking_charges,sale_price
2016.0,8.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,3.0,3.8,1.0,2.0,28.0,1945.0,604.5,92.0,652.0,0.0,147724.0
2016.0,6.0,0.0,0.0,1.0,0.0,1.0,14.0,1.0,0.0,3.0,3.1,1.0,4.0,28.0,1952.0,685.54,90.0,708.74,0.0,142610.0
2017.0,8.0,1.0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,2.0,3.42,3.0,2.0,27.0,1977.0,406.7,73.0,358.54,80.0,129700.0
2016.02,2.0,1.0,0.0,1.0,0.0,1.0,9.0,1.0,0.0,3.0,3.0,1.0,5.0,25.0,1958.0,890.0,44.0,872.0,60.0,312520.0
2016.04,2.0,0.0,0.0,2.0,0.0,2.0,3.0,1.0,0.0,5.0,3.64,3.0,2.0,25.0,2010.0,604.0,74.0,246.54,0.0,346799.0
2016.32,6.0,0.0,0.0,2.0,0.0,3.0,4.12,2.0,0.0,6.0,5.0,3.0,5.0,24.0,2010.0,1500.0,96.0,537.68,0.0,647380.0
2016.02,7.0,0.0,0.0,1.0,0.0,2.0,7.0,1.0,0.0,4.0,5.0,1.0,2.0,15.0,1950.0,715.12,76.0,733.0,0.0,110650.0
2016.32,1.0,0.0,0.0,1.0,0.0,2.0,4.54,1.0,0.0,0.0,3.84,2.84,3.0,26.0,1939.68,992.82,57.0,939.38,0.0,325310.0
2016.0,8.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,3.0,3.0,1.0,2.0,27.0,1960.0,747.32,69.0,663.0,0.0,95000.0
2016.1,9.0,0.0,0.0,2.0,0.0,2.0,4.0,2.0,0.0,6.0,5.0,3.0,2.0,24.0,2010.0,860.0,96.0,298.6,0.0,506240.0
2016.0,6.0,0.0,0.0,1.0,0.0,1.0,6.66,1.0,0.0,3.0,3.0,3.0,4.0,28.0,1955.0,694.34,99.0,804.0,0.0,134460.0
2016.08,7.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,4.0,5.0,3.0,5.0,26.0,1950.0,605.6,73.0,660.0,18.0,151926.0
2016.28,3.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,3.0,3.0,3.0,4.0,25.0,1940.0,750.0,90.0,604.0,0.0,224539.2
2016.1,6.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,0.0,3.0,5.0,1.0,2.0,28.0,1950.0,650.44,92.0,534.0,0.0,151610.0
2016.04,3.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,5.0,5.0,2.4,2.0,25.0,1950.0,865.0,86.0,1013.0,0.0,251106.0
2016.04,2.0,1.0,1.0,1.0,1.0,2.0,17.0,2.0,0.0,5.0,5.0,3.0,4.0,25.0,1966.0,1353.54,71.0,2182.0,162.0,599249.96
2016.0,6.0,1.0,1.0,1.0,1.0,2.0,30.0,2.0,0.0,4.0,4.5,3.0,5.0,28.0,1965.0,1306.66,92.0,1448.0,140.0,625000.0
2016.12,1.0,0.0,0.0,2.0,1.0,3.0,3.0,2.0,1.0,6.0,3.0,3.0,4.0,26.0,1971.0,1520.0,72.0,1880.28,0.0,642219.98
2016.02,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,5.0,5.0,3.0,4.0,26.0,1950.0,960.0,82.0,811.0,0.0,286992.0
2016.32,1.0,0.0,0.0,1.0,0.0,2.0,4.54,1.0,0.0,0.0,3.84,2.84,3.0,26.0,1939.68,992.82,57.0,939.38,0.0,325310.0
2016.1,3.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,3.0,3.94,3.0,5.0,25.0,1946.0,662.62,86.0,645.5,0.0,166532.0
2016.06,4.0,1.0,0.0,1.0,0.0,0.0,3.84,1.0,0.0,2.0,3.56,3.0,2.0,29.0,1950.0,567.28,94.0,598.0,0.0,143740.0
2016.0,7.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,4.0,3.0,3.0,4.0,29.0,1950.0,723.28,82.0,576.0,0.0,106000.0
2016.14,2.0,0.0,0.0,1.0,0.0,2.0,6.2,2.0,0.0,7.0,5.0,1.0,4.0,25.0,1962.0,1093.18,97.0,685.0,0.0,347563.0
2016.04,5.0,0.0,0.0,2.0,0.0,1.0,9.0,1.0,0.0,3.0,3.0,3.74,2.0,32.0,1996.84,623.0,81.0,342.46,0.0,507412.76
2016.0,1.0,0.0,0.0,1.0,0.0,2.0,2.96,1.0,0.0,5.0,3.0,1.0,4.0,26.0,1928.0,979.58,65.0,880.0,0.0,395000.0
2016.1,3.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,3.0,3.94,3.0,5.0,25.0,1946.0,662.62,86.0,645.5,0.0,166532.0
2016.02,4.0,0.0,0.0,2.0,0.0,1.0,4.0,1.0,1.0,5.0,3.0,3.0,2.0,29.0,2007.0,985.0,94.0,691.48,0.0,455637.76
2016.06,2.0,0.0,0.0,1.0,0.0,2.0,6.0,1.0,0.0,4.0,3.78,3.0,2.0,26.0,1955.0,965.76,77.0,1057.0,0.0,271006.0
2016.26,2.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,5.0,4.02,1.0,4.0,25.0,1963.0,1200.0,79.0,1394.0,47.0,337745.0
2016.0,8.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,5.0,5.0,3.0,2.0,28.0,1947.0,1006.94,85.0,1366.0,75.0,223000.0
2016.16,6.0,1.0,1.0,1.0,1.0,0.0,17.0,1.0,0.0,0.0,3.0,1.0,5.0,28.0,1960.0,310.0,94.0,462.0,160.0,156750.0
2016.0,8.0,1.0,1.0,2.0,0.0,2.0,5.0,1.0,1.0,4.0,3.0,3.0,5.0,28.0,2016.0,787.0,93.0,297.02,0.0,471800.0
2016.02,2.0,0.0,0.0,1.0,0.0,2.0,5.92,1.0,0.0,4.0,3.0,3.0,4.0,25.0,1955.0,858.9,85.0,840.0,6.0,235070.0
2016.18,2.0,1.0,1.0,1.0,0.0,1.0,9.0,1.0,0.0,3.0,3.0,3.0,5.0,25.0,1953.0,850.0,58.0,976.0,60.0,238860.0
2016.0,9.0,1.0,1.0,1.0,0.0,1.0,5.98,1.0,0.0,3.0,3.32,3.0,4.0,30.0,1928.0,850.0,98.0,646.98,0.0,285000.0
2016.1,9.0,0.0,0.0,2.0,0.0,2.0,6.46,2.0,0.0,5.0,3.0,3.0,4.0,25.0,2012.0,1096.0,96.0,753.28,0.0,574960.0
2016.02,1.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,5.0,5.0,1.0,4.0,26.0,1953.0,1015.32,77.0,1034.0,0.0,264619.76
2016.02,6.0,0.0,0.0,2.0,0.0,1.0,5.0,1.0,0.0,3.0,3.0,3.0,4.0,28.0,2008.0,719.0,89.0,295.58,0.0,465460.76
2016.02,9.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,0.0,4.0,4.24,1.0,2.0,30.0,1928.0,944.7,99.0,912.0,0.0,448460.0
2016.06,2.0,1.0,1.0,2.0,0.0,2.0,7.0,2.0,0.0,6.0,3.0,3.0,4.0,25.0,2007.0,1233.0,93.0,772.7,0.0,612680.0
2016.42,9.0,0.0,0.0,1.0,0.0,2.0,6.0,1.0,1.0,6.0,4.0,3.0,4.0,24.0,1964.0,1200.0,88.0,849.0,0.0,298171.0
2016.0,8.0,1.0,1.0,2.0,0.0,1.0,6.0,1.0,0.0,4.0,3.48,3.0,2.0,27.0,1965.0,593.28,76.0,425.26,30.0,174000.0
2016.06,6.0,1.0,1.0,1.0,0.0,2.0,15.0,2.0,0.0,5.0,3.0,3.0,2.0,28.0,1962.0,1150.0,93.0,1003.0,150.0,402063.0
2016.0,6.0,0.0,0.0,1.0,1.0,2.0,9.0,1.0,0.0,5.0,5.0,3.0,2.0,28.0,1965.0,1100.0,98.0,1154.0,0.0,518000.0
2016.0,9.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,2.0,3.0,1.0,2.0,24.0,1963.0,523.86,91.0,458.0,245.0,173000.0
2016.04,2.0,0.0,0.0,1.0,1.0,1.0,17.0,1.0,0.0,4.0,3.0,3.0,4.0,26.0,1970.0,889.04,76.0,939.0,0.0,318150.0
2016.02,4.0,0.0,0.0,2.0,0.0,1.0,4.0,1.0,1.0,5.0,3.0,3.0,2.0,28.0,2007.0,985.0,93.0,702.78,0.0,452691.76
2016.02,2.0,1.0,0.0,1.0,0.0,1.0,9.0,1.0,0.0,3.0,3.0,1.0,5.0,25.0,1958.0,890.0,44.0,872.0,60.0,312520.0
2016.2,1.0,0.0,0.0,2.0,0.0,2.0,6.54,2.0,0.0,5.0,3.0,3.0,4.0,26.0,1960.0,1257.16,49.0,1123.52,0.0,420261.0
2016.0,3.0,1.0,1.0,1.0,0.0,1.0,5.78,1.0,0.0,3.0,3.0,1.0,2.0,25.0,1955.0,731.82,89.0,658.0,0.0,175000.0
2016.34,4.0,0.0,0.0,1.0,0.0,0.0,12.0,1.0,0.0,3.0,3.34,1.0,2.0,28.0,1950.0,453.94,28.0,439.0,0.0,149290.0
2016.26,9.0,0.0,0.0,1.0,0.0,1.0,5.98,1.0,0.0,4.0,5.0,2.92,4.0,30.0,1938.0,948.04,99.0,732.0,0.0,454400.0
2016.12,9.0,1.0,1.0,1.0,0.0,2.0,6.52,2.0,0.0,5.0,3.0,3.0,4.0,30.0,1939.0,1182.58,98.0,1178.0,0.0,424833.0
2016.0,7.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,5.0,3.0,3.0,4.0,26.0,1950.0,697.68,76.0,701.0,0.0,179027.22
2016.1,8.0,1.0,1.0,1.0,0.0,1.0,5.9,1.0,0.0,4.0,5.0,3.0,4.0,27.0,1950.0,800.0,91.0,750.0,0.0,182986.0
2016.1,2.0,1.0,1.0,2.0,0.0,2.0,8.66,2.0,0.0,6.0,3.0,3.0,5.0,25.0,2007.0,1057.36,99.0,722.98,0.0,603490.0
2016.18,3.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,5.0,3.0,3.0,2.0,25.0,1949.0,766.54,73.0,753.0,40.0,195394.74
